model,return,sharpe,cost,n_trade,start,end
TR(1%), 115.62, 0.0306, 6.73, 86, 2015-10-29, 2017-10-29
TR(2%), 115.63, 0.0306, 6.71, 82, 2015-10-29, 2017-10-29
TR(3%), 115.62, 0.0306, 6.70, 81, 2015-10-29, 2017-10-29
TR(4%), 115.62, 0.0306, 6.70, 81, 2015-10-29, 2017-10-29
TR(5%), 115.59, 0.0305, 6.67, 79, 2015-10-29, 2017-10-29
PR(1), 115.62, 0.0306, 6.73, 521, 2015-10-29, 2017-10-29
PR(2), 116.64, 0.0320, 4.71, 260, 2015-10-29, 2017-10-29
PR(3), 114.34, 0.0287, 3.04, 173, 2015-10-29, 2017-10-29
PR(4), 113.24, 0.0270, 2.69, 130, 2015-10-29, 2017-10-29
PR(5), 113.78, 0.0278, 2.72, 104, 2015-10-29, 2017-10-29
PR(6), 112.56, 0.0260, 2.22, 86, 2015-10-29, 2017-10-29
PR(9), 112.69, 0.0262, 1.91, 57, 2015-10-29, 2017-10-29
PR(12), 111.53, 0.0245, 1.40, 43, 2015-10-29, 2017-10-29
BH, 100.87, 0.0075, 0, 1, 2015-10-29, 2017-10-29
a2c_1, 129.70,0.0706, 1.87, 86, 2015-10-29, 2017-10-29
a2c_2, 134.52,0.0675, 1.36, 135, 2015-10-29, 2017-10-29
a2c_3, 117.88,0.0596, 1.09, 71, 2015-10-29, 2017-10-29
