model,return,sharpe,cost,count,start,end
a2c_1, 120.68, 0.0500, 14.80, 186, 2017-10-29, 2019-10-29
a2c_2, 116.88, 0.0446, 2.91, 139, 2017-10-29, 2019-10-29
a2c_3, 115.35, 0.0385, 1.57, 58, 2017-10-29, 2019-10-29
a2c_4, 88.58, -0.0147, 1.26, 13, 2017-10-29, 2019-10-29
a2c_5, 112.74, 0.0350, 8.86, 157, 2017-10-29, 2019-10-29
a2c_6, 120.74, 0.0471, 13.39, 227, 2017-10-29, 2019-10-29
a2c_7, 120.14, 0.0495, 3.43, 47, 2017-10-29, 2019-10-29
a2c_8, 104.82, 0.0155, 1.71, 121, 2017-10-29, 2019-10-29
a2c_9, 108.47, 0.0233, 12.27, 266, 2017-10-29, 2019-10-29
a2c_10, 91.51, -0.0111, 1.40, 43, 2017-10-29, 2019-10-29
a2c_11, 105.85, 0.0199, 1.55, 137, 2017-10-29, 2019-10-29
a2c_12, 101.73, 0.0092, 1.16, 96, 2017-10-29, 2019-10-29
a2c_14, 101.05, 0.0089, 0.66, 11, 2017-10-29, 2019-10-29
a2c_15, 108.21, 0.0213, 3.55, 152, 2017-10-29, 2019-10-29
a2c_16, 116.61, 0.0369, 1.89, 25, 2017-10-29, 2019-10-29
a2c_17, 91.49, -0.0111, 1.60, 44, 2017-10-29, 2019-10-29
a2c_18, 98.88, 0.0022, 1.45, 132, 2017-10-29, 2019-10-29
a2c_19, 98.13, -0.0001, 3.30, 132, 2017-10-29, 2019-10-29
a2c_20, 106.08, 0.0201, 1.51, 131, 2017-10-29, 2019-10-29
a2c_21, 115.10, 0.0378, 5.38, 117, 2017-10-29, 2019-10-29
a2c_22, 119.12, 0.0430, 1.44, 25, 2017-10-29, 2019-10-29
a2c_23, 89.64, -0.0148, 5.68, 103, 2017-10-29, 2019-10-29
a2c_24, 119.25, 0.0403, 11.69, 165, 2017-10-29, 2019-10-29
a2c_25, 90.20, -0.0136, 1.13, 20, 2017-10-29, 2019-10-29
a2c_26, 98.31, 0.0047, 4.89, 111, 2017-10-29, 2019-10-29
a2c_27, 119.59, 0.0544, 6.31, 125, 2017-10-29, 2019-10-29
a2c_28, 115.91, 0.0365, 1.93, 34, 2017-10-29, 2019-10-29
a2c_29, 118.87, 0.0520, 8.17, 172, 2017-10-29, 2019-10-29
a2c_30, 117.90, 0.0466, 1.57, 22, 2017-10-29, 2019-10-29
a2c_31, 91.51, -0.0111, 1.40, 43, 2017-10-29, 2019-10-29
a2c_32, 90.20, -0.0136, 1.13, 20, 2017-10-29, 2019-10-29
a2c_33, 91.38, -0.0112, 2.45, 60, 2017-10-29, 2019-10-29
a2c_34, 118.25, 0.0529, 1.61, 81, 2017-10-29, 2019-10-29
a2c_35, 104.91, 0.0158, 1.71, 121, 2017-10-29, 2019-10-29
